"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/randaut.hoa:4155.1-4242.7",,3,24,55,55,0,1,6,1,0,"autfilt","ok",0,0.00604686,3,24,55,55,0,1,6,1,0
"data/automatons/randaut.hoa:4243.1-4330.7",,2,24,55,55,0,1,8,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,3.42569,2,73,255,292,2,3,0,0,0
"data/automatons/randaut.hoa:4243.1-4330.7",,2,24,55,55,0,1,8,1,0,"autfilt","ok",0,0.00592796,2,24,55,55,0,1,8,1,0
"data/automatons/randaut.hoa:4331.1-4354.7",,2,6,9,9,0,2,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.794517,2,12,28,48,2,5,0,0,0
"data/automatons/randaut.hoa:4331.1-4354.7",,2,6,9,9,0,2,1,1,0,"autfilt","ok",0,0.00600115,2,6,9,9,0,2,1,1,0
"data/automatons/randaut.hoa:4355.1-4388.7",,1,10,15,15,0,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.44485,1,31,61,62,2,3,0,0,0
"data/automatons/randaut.hoa:4355.1-4388.7",,1,10,15,15,0,1,3,1,0,"autfilt","ok",0,0.00591984,1,10,15,15,0,1,3,1,0
"data/automatons/randaut.hoa:4389.1-4406.7",,1,4,5,5,0,1,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.782404,1,6,11,12,2,3,0,0,0
"data/automatons/randaut.hoa:4389.1-4406.7",,1,4,5,5,0,1,1,1,0,"autfilt","ok",0,0.00616154,1,4,5,5,0,1,1,1,0
"data/automatons/randaut.hoa:4407.1-4472.7",,2,19,38,38,0,1,6,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.48472,2,31,101,124,2,3,0,0,0
"data/automatons/randaut.hoa:4407.1-4472.7",,2,19,38,38,0,1,6,1,0,"autfilt","ok",0,0.00589225,2,19,38,38,0,1,6,1,0
"data/automatons/randaut.hoa:4473.1-4491.7",,1,4,6,6,0,2,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.695336,1,8,15,16,2,4,0,0,0
"data/automatons/randaut.hoa:4473.1-4491.7",,1,4,6,6,0,2,1,1,0,"autfilt","ok",0,0.00606376,1,4,6,6,0,2,1,1,0
"data/automatons/randaut.hoa:4492.1-4521.7",,1,9,12,12,0,1,1,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.757066,1,10,19,20,2,3,0,0,0
"data/automatons/randaut.hoa:4492.1-4521.7",,1,9,12,12,0,1,1,1,0,"autfilt","ok",0,0.00576393,1,9,12,12,0,1,1,1,0
"data/automatons/randaut.hoa:4522.1-4575.7",,1,15,30,30,0,1,5,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,3.28114,1,75,149,150,2,4,0,0,0
"data/automatons/randaut.hoa:4522.1-4575.7",,1,15,30,30,0,1,5,1,0,"autfilt","ok",0,0.00574267,1,15,30,30,0,1,5,1,0
"data/automatons/randaut.hoa:4576.1-4627.7",,2,12,31,31,0,1,5,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.95874,2,58,214,232,2,3,0,0,0
